"","id","owner","secret","server","farm","title","ispublic","isfriend","isfamily","datetaken","datetakengranularity","datetakenunknown","tags","latitude","longitude","accuracy","context","place_id","woeid","geo_is_family","geo_is_friend","geo_is_contact","geo_is_public","url_m","height_m","width_m"
"1","24276017266","138448442@N08","a029c15bb3","1601",2,"DSCF3338",1,0,0,"2013-07-28 10:59:30","0","0","","61.298097","7.322347","16",0,"1q3Wx7VZVLiYxGA","862556",0,0,0,1,"https://farm2.staticflickr.com/1601/24276017266_a029c15bb3.jpg","333","500"
"2","24193969032","138448442@N08","eb0b69f26b","1585",2,"DSCF3346",1,0,0,"2013-07-28 11:01:35","0","0","","61.298011","7.322602","16",0,"1q3Wx7VZVLiYxGA","862556",0,0,0,1,"https://farm2.staticflickr.com/1585/24193969032_eb0b69f26b.jpg","500","333"
"3","24193964532","138448442@N08","a96407a722","1661",2,"DSCF3353",1,0,0,"2013-07-28 11:03:06","0","0","","61.298066","7.322688","16",0,"1q3Wx7VZVLiYxGA","862556",0,0,0,1,"https://farm2.staticflickr.com/1661/24193964532_a96407a722.jpg","333","500"
"4","23675321143","138448442@N08","95ddf834ce","1678",2,"DSCF3360",1,0,0,"2013-07-28 11:05:14","0","0","","61.298177","7.322588","16",0,"1q3Wx7VZVLiYxGA","862556",0,0,0,1,"https://farm2.staticflickr.com/1678/23675321143_95ddf834ce.jpg","500","333"
"5","23384013324","127795981@N06","0eb2aed9b0","5768",6,"2014_0709-0532.jpg",1,0,0,"2014-07-09 09:44:47","0","0","travel summer mountains nature water beautiful norway europe ship air fjord flam <U+0432><U+043E><U+0434><U+0430> <U+043A><U+0440><U+0430><U+0441><U+0438><U+0432><U+043E> <U+043F><U+0440><U+0438><U+0440><U+043E><U+0434><U+0430> <U+0433><U+043E><U+0440><U+044B> <U+043B><U+0435><U+0442><U+043E> sognogfjordane <U+043A><U+043E><U+0440><U+0430><U+0431><U+043B><U+044C> <U+043F><U+0443><U+0442><U+0435><U+0448><U+0435><U+0441><U+0442><U+0432><U+0438><U+0435> <U+0432><U+043E><U+0437><U+0434><U+0443><U+0445> <U+0435><U+0432><U+0440><U+043E><U+043F><U+0430> 1585mm canon7d mscpoesia <U+043D><U+043E><U+0440><U+0432><U+0435><U+0433><U+0438><U+044F> <U+0444><U+044C><U+043E><U+0440><U+0434> <U+0444><U+043B><U+043E><U+043C>","61.325633","7.360838","16",0,"6ZhucSpYUrIYEf_bRQ","90857455",0,0,0,1,"https://farm6.staticflickr.com/5768/23384013324_0eb2aed9b0.jpg","333","500"
"6","23385437233","127795981@N06","5e947ea523","5723",6,"2014_0709-0523.jpg",1,0,0,"2014-07-09 09:43:30","0","0","travel summer mountains nature water beautiful norway europe ship air fjord flam <U+0432><U+043E><U+0434><U+0430> <U+043A><U+0440><U+0430><U+0441><U+0438><U+0432><U+043E> <U+043F><U+0440><U+0438><U+0440><U+043E><U+0434><U+0430> <U+0433><U+043E><U+0440><U+044B> <U+043B><U+0435><U+0442><U+043E> sognogfjordane <U+043A><U+043E><U+0440><U+0430><U+0431><U+043B><U+044C> <U+043F><U+0443><U+0442><U+0435><U+0448><U+0435><U+0441><U+0442><U+0432><U+0438><U+0435> <U+0432><U+043E><U+0437><U+0434><U+0443><U+0445> <U+0435><U+0432><U+0440><U+043E><U+043F><U+0430> 1585mm canon7d mscpoesia <U+043D><U+043E><U+0440><U+0432><U+0435><U+0433><U+0438><U+044F> <U+0444><U+044C><U+043E><U+0440><U+0434> <U+0444><U+043B><U+043E><U+043C>","61.319044","7.358094","16",0,"6ZhucSpYUrIYEf_bRQ","90857455",0,0,0,1,"https://farm6.staticflickr.com/5723/23385437233_5e947ea523.jpg","333","500"
"7","8459964574","26849514@N06","22664bda9a","8249",9,"Stave  church in Urnes, Norway (Unesco world heritage)",1,0,0,"2012-09-12 10:45:51","0","0","church norway norge norwegen unesco viking stavechurch noorwegen stavkirke urnes p1040742","61.298605","7.323302","16",0,"1q3Wx7VZVLiYxGA","862556",0,0,0,1,"https://farm9.staticflickr.com/8249/8459964574_22664bda9a.jpg","375","500"
"8","23591976261","137244110@N07","d8a1fc3877","573",1,"stavkirke d'urnes",1,0,0,"2002-07-24 13:44:44","0","0","norvège","61.298079","7.322323","15",0,"1q3Wx7VZVLiYxGA","862556",0,0,0,1,"https://farm1.staticflickr.com/573/23591976261_d8a1fc3877.jpg","375","500"
"9","8458914553","26849514@N06","5c3dda57b0","8243",9,"Happy Sunday! / The  Stave church of Urnes, Norway (Unesco world heritage)",1,0,0,"2012-09-12 11:01:21","0","0","church norway norge norwegen unesco viking stavechurch noorwegen stavkirke urnes p1040760","61.298605","7.323302","16",0,"1q3Wx7VZVLiYxGA","862556",0,0,0,1,"https://farm9.staticflickr.com/8243/8458914553_5c3dda57b0.jpg","375","500"
"10","22067320156","24471757@N00","6184844909","5702",6,"Staves",1,0,0,"2015-08-05 12:13:03","0","0","church norway wooden stave mediaeval stavkyrkje urnes","61.298254","7.322505","16",0,"1q3Wx7VZVLiYxGA","862556",0,0,0,1,"https://farm6.staticflickr.com/5702/22067320156_6184844909.jpg","500","375"
"11","22080996232","24471757@N00","37e6114026","5686",6,"The Santuary",1,0,0,"2015-08-05 12:17:50","0","0","church norway wooden altar crucifix sanctuary stave mediaeval stavkyrkje urnes","61.298254","7.322505","16",0,"1q3Wx7VZVLiYxGA","862556",0,0,0,1,"https://farm6.staticflickr.com/5686/22080996232_37e6114026.jpg","397","500"
"12","22067315876","24471757@N00","51cfebdff8","5724",6,"Nave",1,0,0,"2015-08-05 12:18:28","0","0","church norway wooden nave stave mediaeval stavkyrkje urnes","61.298254","7.322505","16",0,"1q3Wx7VZVLiYxGA","862556",0,0,0,1,"https://farm6.staticflickr.com/5724/22067315876_51cfebdff8.jpg","500","375"
"13","22080993012","24471757@N00","1be62ddb3a","5665",6,"Urnes Stavkyrkje",1,0,0,"2015-08-05 12:25:26","0","0","church norway wooden stave mediaeval stavkyrkje urnes","61.298254","7.322505","16",0,"1q3Wx7VZVLiYxGA","862556",0,0,0,1,"https://farm6.staticflickr.com/5665/22080993012_1be62ddb3a.jpg","375","500"
"14","22093488655","24471757@N00","2ce6b76658","5798",6,"Urnes Stavkyrkje",1,0,0,"2015-08-05 12:34:56","0","0","church norway wooden churchyard stave mediaeval stavkyrkje urnes","61.298254","7.322505","16",0,"1q3Wx7VZVLiYxGA","862556",0,0,0,1,"https://farm6.staticflickr.com/5798/22093488655_2ce6b76658.jpg","500","375"
"15","21470647144","24471757@N00","70465552b2","5737",6,"Urnes Stavkyrkje",1,0,0,"2015-08-05 12:35:23","0","0","cloud mountains church norway wooden stave mediaeval stavkyrkje urnes","61.298254","7.322505","16",0,"1q3Wx7VZVLiYxGA","862556",0,0,0,1,"https://farm6.staticflickr.com/5737/21470647144_70465552b2.jpg","375","500"
"16","21867353980","36948083@N00","2b5037284d","646",1,"Interior of Urnes Stave Church, Norway",1,0,0,"2015-09-01 14:24:43","0","0","wood church architecture antique interior naturallight medieval historical christianity pew unescoworldheritage stavechurch stavkirke urgesstyle","61.298120","7.322344","16",0,"1q3Wx7VZVLiYxGA","862556",0,0,0,1,"https://farm1.staticflickr.com/646/21867353980_2b5037284d.jpg","500","375"
"17","20772975619","99145101@N04","dac1b39b59","5820",6,"Ornes",1,0,0,"2015-08-02 14:31:11","0","0","ornesnorwaysognefjordwaternatureblueskycoludbuildings","61.299048","7.314695","16",0,"LcxNo0ZUV7LKd.Hfaw","55871922",0,0,0,1,"https://farm6.staticflickr.com/5820/20772975619_dac1b39b59.jpg","292","500"
"18","20529039489","20344326@N00","32dd63ff08","5733",6,"DSC05905",1,0,0,"2015-08-19 19:21:00","0","0","","61.298151","7.322409","15",0,"1q3Wx7VZVLiYxGA","862556",0,0,0,1,"https://farm6.staticflickr.com/5733/20529039489_32dd63ff08.jpg","333","500"
